description_en,description_es
36 FOIL HEART CAKE CASES,36 CAJAS DE PAPEL DE ALUMINIO PARA PASTEL DE CORAZÓN
HALL CABINET WITH 3 DRAWERS,MUEBLE DE RECIBIDOR CON 3 CAJONES
FRENCH BLUE METAL DOOR SIGN 4,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 4
DIAMANTE NECKLACE BLACK ,COLLAR DIAMANTE NEGRO
NUMBER TILE COTTAGE GARDEN 5,NÚMERO AZULEJO COTTAGE GARDEN 5
Carton qnty was 216 not 144 as stat,"La cantidad de cartón fue de 216, no de 144 como estadística"
rex use,Uso de Rex
HEN PARTY CORDON BARRIER TAPE,Cinta de barrera de cordón para despedidas de soltera
Given away,Regalado
CREAM WALL PLANTER HEART SHAPED,JARDINERA DE PARED CREMA EN FORMA DE CORAZÓN
3 TIER SWEETHEART GARDEN SHELF,ESTANTE DE JARDÍN SWEETHEART DE 3 NIVELES
WHITE BROCANTE SOAP DISH,JABONERA DE BROCANTE BLANCO
FRENCH BLUE METAL DOOR SIGN 3,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 3
EASTER TIN KEEPSAKE,RECUERDO DE LATA DE PASCUA
AMAZON FEE,TARIFA DE AMAZON
CUSHION COVER PINK UNION JACK,FUNDA DE COJÍN UNION JACK ROSA
FRENCH BLUE METAL DOOR SIGN 5,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 5
ROSE PINK PENDANT SHELL NECKLACE,COLLAR COLGANTE DE CONCHA ROSA ROSA
FRENCH BLUE METAL DOOR SIGN 2,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 2
FRENCH BLUE METAL DOOR SIGN 1,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 1
SQUARECUSHION COVER PINK UNION FLAG,FUNDA DE COJÍN CUADRADO BANDERA DE LA UNIÓN ROSA
GINGERBREAD MAN COOKIE CUTTER,CORTADOR DE GALLETAS DE JENGIBRE MAN
SWEETHEART WIRE WALL TIDY,PARED DE ALAMBRE SWEETHEART ORDENADO
wrong code,Código incorrecto
BROCANTE SHELF WITH HOOKS,ESTANTERÍA BROCANTERA CON GANCHOS
NUMBER TILE VINTAGE FONT 1,NÚMERO AZULEJO FUENTE VINTAGE 1
FOLDING UMBRELLA WHITE/RED POLKADOT,PARAGUAS PLEGABLE BLANCO/ROJO POLKADOT
FRENCH BLUE METAL DOOR SIGN No,LETRERO DE PUERTA DE METAL AZUL FRANCÉS No
NUMBER TILE COTTAGE GARDEN 2,NÚMERO AZULEJO COTTAGE GARDEN 2
NUMBER TILE COTTAGE GARDEN 3 ,NÚMERO AZULEJO COTTAGE GARDEN 3
NUMBER TILE COTTAGE GARDEN 8,NÚMERO AZULEJO COTTAGE GARDEN 8
NUMBER TILE COTTAGE GARDEN No,NÚMERO AZULEJO COTTAGE GARDEN No
BIRTHDAY BANNER TAPE,CINTA DE BANNER DE CUMPLEAÑOS
HEN PARTY BANNER TAPE,Cinta de pancarta para despedida de soltera
SET OF 6 SPICE TINS PANTRY DESIGN,SET DE 6 LATAS DE ESPECIAS DISEÑO DESPENSA
?sold individually?,?se vende individualmente?
FRENCH BLUE METAL DOOR SIGN 8,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 8
NUMBER TILE COTTAGE GARDEN 9,NÚMERO AZULEJO COTTAGE GARDEN 9
NUMBER TILE VINTAGE FONT No ,NÚMERO MOSAICO FUENTE VINTAGE No
NUMBER TILE VINTAGE FONT 7,MOSAICO DE NÚMEROS FUENTE VINTAGE 7
NUMBER TILE COTTAGE GARDEN 1,NÚMERO AZULEJO COTTAGE GARDEN 1
NEW BAROQUE BLACK BOXES,NUEVAS CAJAS NEGRAS BARROCAS
FRENCH BLUE METAL DOOR SIGN 7,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 7
FRENCH BLUE METAL DOOR SIGN 6,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 6
FRENCH BLUE METAL DOOR SIGN 0,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 0
PINK POLKADOT GARDEN PARASOL,SOMBRILLA DE JARDÍN DE LUNARES ROSAS
FRENCH BLUE METAL DOOR SIGN 9,LETRERO DE PUERTA DE METAL AZUL FRANCÉS 9
NUMBER TILE COTTAGE GARDEN 0 ,NÚMERO AZULEJO COTTAGE GARDEN 0
NUMBER TILE VINTAGE FONT 2,MOSAICO DE NÚMEROS FUENTE VINTAGE 2
PURPLE DRESS JEWELLERY STAND,SOPORTE DE BISUTERÍA DE VESTIDO MORADO
CANNABIS LEAF BEAD CURTAIN,CORTINA DE ABALORIOS DE HOJAS DE CANNABIS
FRIDGE MAGNETS LES ENFANTS ASSORTED,IMANES DE NEVERA LES ENFANTS SURTIDO
BLUE COAT RACK PARIS FASHION,PERCHERO AZUL PARIS FASHION
RED COAT RACK PARIS FASHION,PERCHERO ROJO PARIS FASHION
YELLOW COAT RACK PARIS FASHION,PERCHERO AMARILLO PARIS FASHION
ASSORTED BOTTLE TOP  MAGNETS ,IMANES SURTIDOS PARA LA TAPA DE LA BOTELLA
FRIDGE MAGNETS US DINER ASSORTED,IMANES DE NEVERA US DINER SURTIDO
FRIDGE MAGNETS LA VIE EN ROSE,IMANES DE NEVERA LA VIE EN ROSE
IVORY GIANT GARDEN THERMOMETER,TERMÓMETRO DE JARDÍN GIGANTE DE MARFIL
HERB MARKER ROSEMARY,ROTULADOR DE HIERBAS ROMERO
HOMEMADE JAM SCENTED CANDLES,VELAS AROMÁTICAS DE MERMELADA CASERA
3 PIECE SPACEBOY COOKIE CUTTER SET,JUEGO DE CORTADORES DE GALLETAS SPACEBOY DE 3 PIEZAS
PINK BEADS+HAND PHONE CHARM,CUENTAS ROSAS + CHARM DE TELÉFONO DE MANO
3 TRADITIONAl BISCUIT CUTTERS  SET,3 JUEGO DE CORTADORES DE GALLETAS TRADITIONALL
CARD BILLBOARD FONT,FUENTE DE CARTELERA DE TARJETA
GREEN GIANT GARDEN THERMOMETER,TERMÓMETRO DE JARDÍN GIGANTE VERDE
HERB MARKER CHIVES ,MARCADOR DE HIERBAS CEBOLLINO
HERB MARKER BASIL,MARCADOR DE HIERBAS ALBAHACA
HERB MARKER THYME,MARCADOR DE HIERBAS TOMILLO
HERB MARKER PARSLEY,MARCADOR DE HIERBAS PEREJIL
NUMBER TILE COTTAGE GARDEN 7,NÚMERO AZULEJO COTTAGE GARDEN 7
IVORY PENDANT SHELL NECKLACE,COLLAR COLGANTE DE CONCHA MARFIL
BLUE GIANT GARDEN THERMOMETER,TERMÓMETRO DE JARDÍN GIGANTE AZUL
3 TRADITIONAL COOKIE CUTTERS  SET,3 JUEGOS DE CORTADORES DE GALLETAS TRADICIONALES
CARD GINGHAM ROSE ,CARTA VICHY ROSE
HERB MARKER MINT,ROTULADOR DE HIERBAS MENTA
HANGING CHICK GREEN DECORATION,COLGANTE POLLITO VERDE DECORACIÓN
YELLOW GIANT GARDEN THERMOMETER,TERMÓMETRO DE JARDÍN GIGANTE AMARILLO
"FLOWER FAIRY MUG+COASTER,ROSE","TAZA DE HADAS DE LAS FLORES + POSAVASOS, ROSA"
SOLDIERS EGG CUP ,HUEVERA DE SOLDADOS
ORANGE/WHT/FUSCHIA STONES NECKLACE,COLLAR DE PIEDRAS NARANJA/WHT/FUCSIA
PALE PINK/AMETHYST STONE NECKLACE,COLLAR DE PIEDRAS ROSA PÁLIDO/AMATISTA
CHILDRENS CIRCUS PARADE MUG,TAZA DE DESFILE DE CIRCO INFANTIL
amazon adjustment,Ajuste de Amazon
SCHOOL DESK AND CHAIR ,PUPITRE Y SILLA DE ESCUELA
MOP PENDANT SHELL NECKLACE,COLLAR COLGANTE DE CONCHA MOP
CHILDREN'S SPACEBOY MUG,TAZA SPACEBOY PARA NIÑOS
SPACEBOY CHILDRENS EGG CUP,HUEVERA INFANTIL SPACEBOY
CHILDRENS SPACEBOY MUG,TAZA SPACEBOY PARA NIÑOS
CHILDRENS DOLLY GIRL MUG,TAZA DOLLY NIÑA PARA NIÑOS
CIRCUS PARADE CHILDRENS EGG CUP ,DESFILE DE CIRCO HUEVERA INFANTIL
DOLLY GIRL CHILDRENS EGG CUP,HUEVERA PARA NIÑOS DOLLY GIRL
CHILDREN'S CIRCUS PARADE MUG,TAZA DE DESFILE DE CIRCO INFANTIL
mailout addition,Adición de correo
Mailout,Envío por correo
MAGIC GARDEN FELT GARLAND ,GUIRNALDA DE FIELTRO MAGIC GARDEN
HANGING CHICK CREAM DECORATION,DECORACIÓN COLGANTE CHICK CREAM
JAM JAR WITH PINK LID,TARRO DE MERMELADA CON TAPA ROSA
JAM MAKING SET WITH JARS,JUEGO DE HACER MERMELADAS CON TARROS
JAM JAR WITH GREEN LID,TARRO DE MERMELADA CON TAPA VERDE
HANGING CHICK  YELLOW DECORATION,COLGANTE POLLITO AMARILLO DECORACIÓN
FRENCH LAVENDER SCENT HEART,CORAZÓN CON AROMA A LAVANDA FRANCESA
AMBER 3 BEAD DROP EARRINGS,PENDIENTES COLGANTES DE 3 CUENTAS AMBER
PAIR OF PINK FLOWER CLUSTER SLIDE,PAR DE TOBOGÁN DE RACIMO DE FLORES ROSAS
HANGING METAL RABBIT DECORATION,DECORACIÓN COLGANTE DE CONEJO DE METAL
GLASS BELL JAR SMALL,CAMPANA DE CRISTAL PEQUEÑA
GLASS BELL JAR LARGE,CAMPANA DE CRISTAL GRANDE
amazon,amazona
"SILICON CUBE 25W, BLUE","CUBO DE SILICONA 25W, AZUL"
BAKING MOULD HEART MILK CHOCOLATE,MOLDE PARA HORNEAR CORAZÓN DE CHOCOLATE CON LECHE
BAKING MOULD HEART WHITE CHOCOLATE,MOLDE PARA HORNEAR CORAZÓN CHOCOLATE BLANCO
BAKING MOULD TOFFEE CUP CHOCOLATE,MOLDE PARA HORNEAR TAZA DE CARAMELO CHOCOLATE
BAKING MOULD CHOCOLATE CUPCAKES,MOLDE PARA HORNEAR CUPCAKES DE CHOCOLATE
BAKING MOULD ROSE WHITE CHOCOLATE,MOLDE PARA HORNEAR CHOCOLATE BLANCO ROSA
BAKING MOULD ROSE MILK CHOCOLATE,MOLDE PARA HORNEAR CHOCOLATE CON LECHE ROSA
BAKING MOULD CHOCOLATE CUP CAKES,MOLDE PARA HORNEAR CUPCAKES DE CHOCOLATE
BAKING MOULD EASTER EGG MILK CHOC,MOLDE PARA HORNEAR PASCUA HUEVO LECHE CHOC
*Boombox Ipod Classic,*Boombox Ipod Clásico
faulty,defectuoso
Dotcom sales,Ventas puntocom
BAKING MOULD EASTER EGG WHITE CHOC,MOLDE PARA HORNEAR EASTER EGG WHITE CHOC
BLUE POLKADOT GARDEN PARASOL,SOMBRILLA DE JARDÍN BLUE POLKADOT
LOVE SEAT ANTIQUE WHITE METAL,SOFÁ DE DOS PLAZAS METAL BLANCO ANTIGUO
EASTER TIN CHICKS IN GARDEN,POLLITOS DE HOJALATA DE PASCUA EN EL JARDÍN
HANGING METAL CHICKEN DECORATION,DECORACIÓN DE POLLO DE METAL COLGANTE
SET OF 6 HERB TINS SKETCHBOOK,SET DE 6 LATAS DE HIERBAS CUADERNO DE BOCETOS
SET OF 3 CAKE TINS PANTRY DESIGN ,SET DE 3 MOLDES PARA TARTAS DISEÑO DESPENSA
LARGE CAKE TOWEL CHOCOLATE SPOTS,TOALLA DE TARTA GRANDE MANCHAS DE CHOCOLATE
BAKING MOULD TOFFEE CUP  CHOCOLATE,MOLDE PARA HORNEAR TAZA DE CARAMELO CHOCOLATE
BAKING MOULD CUPCAKE CHOCOLATE,MOLDE PARA HORNEAR CUPCAKE CHOCOLATE
SET OF 3 CAKE TINS SKETCHBOOK,SET DE 3 MOLDES PARA TARTAS CUADERNO DE BOCETOS
amazon sales,Ventas de Amazon
LONDON BUS COFFEE MUG,TAZA DE CAFÉ LONDON BUS
QUEENS GUARD COFFEE MUG,TAZA DE CAFÉ QUEENS GUARD
HANGING HEN ON NEST DECORATION,GALLINA COLGANTE EN DECORACIÓN DE NIDO
MINI LADLE LOVE HEART PINK,MINI CUCHARÓN LOVE HEART ROSA
MINI LADLE LOVE HEART RED ,MINI CUCHARÓN CORAZÓN DE AMOR ROJO
reverse 21/5/10 adjustment,Ajuste inverso 21/5/10
JARDIN ETCHED GLASS CHEESE DISH,PLATO DE QUESO DE VIDRIO GRABADO JARDIN
"mouldy, thrown away.","Mohoso, tirado a la basura."
WRAP DOILEY DESIGN,DISEÑO WRAP DOILEY
WRAP ALPHABET DESIGN,DISEÑO DE ALFABETO ENVOLVENTE
SET 3 SONG BIRD PAPER EGGS ASSORTED,SET 3 HUEVOS DE PAPEL DE PÁJARO CANTOR SURTIDOS
SET 3 PAPER VINTAGE CHICK PAPER EGG,SET 3 HUEVO DE PAPEL POLLITO VINTAGE
WRAP POPPIES  DESIGN,DISEÑO WRAP POPPIES
WRAP VINTAGE PETALS  DESIGN,ENVOLTURA DISEÑO DE PÉTALOS VINTAGE
MEDIUM CERAMIC TOP STORAGE JAR,TARRO DE ALMACENAMIENTO SUPERIOR DE CERÁMICA MEDIANO
SWISS ROLL TOWEL PINK  SPOTS,TOALLA SWISS ROLL MANCHAS ROSAS
MUSICAL ZINC HEART DECORATION ,DECORACIÓN MUSICAL DE CORAZÓN DE ZINC
label mix up,Mezcla de etiquetas
RETROSPOT WOODEN HEART DECORATION,DECORACIÓN CORAZÓN DE MADERA RETROSPOT
samples/damages,Muestras/Daños
HANGING HEART WITH BELL,COLGANTE CORAZÓN CON CAMPANA
INCENSE BAZAAR PEACH,BAZAR DE INCIENSO MELOCOTÓN
GLITTER HEART DECORATION,DECORACIÓN DE CORAZÓN CON PURPURINA
SET 2 PANTRY DESIGN TEA TOWELS,SET 2 PAÑOS DE COCINA DE DISEÑO DESPENSA
thrown away,Tirado
COTTON APRON PANTRY DESIGN,DISEÑO DE DESPENSA DE DELANTAL DE ALGODÓN
ICON MUG REVOLUTIONARY,TAZA ICONO REVOLUCIONARIO
"RETRO PILL BOX , REVOLUTIONARY","PASTILLERO RETRO, REVOLUCIONARIO"
incorrectly made-thrown away.,incorrectamente hecho-desechado.
PANTRY SCRUBBING BRUSH,CEPILLO PARA FREGAR DESPENSAS
SET OF 4 PANTRY JELLY MOULDS,SET DE 4 MOLDES DE GELATINA DE DESPENSA
TRAVEL CARD WALLET FLOWER MEADOW,CARTERA TARJETA DE VIAJE FLOWER MEADOW
TRAVEL CARD WALLET PANTRY,TARJETA DE VIAJE CARTERA DESPENSA
TRAVEL CARD WALLET SKULLS,TARJETA DE VIAJE CARTERA CALAVERAS
TRAVEL CARD WALLET VINTAGE ROSE ,CARTERA TARJETA DE VIAJE VINTAGE ROSE
TRAVEL CARD WALLET TRANSPORT,TRANSPORTE DE LA CARTERA DE LA TARJETA DE VIAJE
TRAVEL CARD WALLET RETROSPOT,CARTERA DE TARJETAS DE VIAJE RETROSPOT
TRAVEL CARD WALLET KEEP CALM,CARTERA DE TARJETAS DE VIAJE MANTÉN LA CALMA
GIRAFFE WOODEN RULER,REGLA DE MADERA DE JIRAFA
REVOLVER WOODEN RULER ,REVÓLVER REGLA DE MADERA
TRAVEL CARD WALLET RETRO PETALS,CARTERA DE TARJETAS DE VIAJE RETRO PETALS
TRAVEL CARD WALLET SUKI,CARTERA DE TARJETA DE VIAJE SUKI
TRAVEL CARD WALLET VINTAGE TICKET,CARTERA TARJETA DE VIAJE BILLETE VINTAGE
PANTRY ROLLING PIN,RODILLO DE AMASAR DE DESPENSA
TRAVEL CARD WALLET UNION JACK,CARTERA TARJETA DE VIAJE UNION JACK
TRAVEL CARD WALLET I LOVE LONDON,CARTERA DE TARJETAS DE VIAJE I LOVE LONDON
"RETRO TIN ASHTRAY,REVOLUTIONARY","CENICERO RETRO DE HOJALATA, REVOLUCIONARIO"
CHILDRENS CUTLERY POLKADOT BLUE,CUBIERTOS INFANTILES POLKADOT AZUL
CHILDRENS CUTLERY POLKADOT PINK,CUBIERTOS INFANTILES POLKADOT ROSA
LUNCH BAG SUKI DESIGN ,BOLSA DE ALMUERZO SUKI DESIGN
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,BOLSO JUMBO PAISLEY AZUL ESCANDINAVO
CHILDRENS CUTLERY RETROSPOT RED ,CUBIERTOS INFANTILES RETROSPOT ROJO
CHILDRENS CUTLERY POLKADOT GREEN ,CUBIERTOS INFANTILES POLKADOT VERDE
TOILET SIGN OCCUPIED OR VACANT,LETRERO DE INODORO OCUPADO O VACÍO
PANTRY WASHING UP BRUSH,CEPILLO PARA LAVAR LA DESPENSA
showroom,showroom
TREASURE ISLAND BOOK BOX,CAJA DE LIBROS DE LA ISLA DEL TESORO
BUFFALO BILL TREASURE BOOK BOX,CAJA DEL LIBRO DEL TESORO DE BUFFALO BILL
GYMKHANNA TREASURE BOOK BOX,CAJA DEL TESORO DE GYMKHANNA
ABC TREASURE BOOK BOX ,CAJA DEL LIBRO DEL TESORO DEL ABC
PANTRY PASTRY BRUSH,PINCEL DE REPOSTERÍA DESPENSA
DOLLCRAFT GIRL AMELIE KIT,KIT DE MUÑECAS PARA NIÑA AMELIE
DOLLCRAFT GIRL NICOLE,MUÑECA NIÑA NICOLE
FELTCRAFT GIRL NICOLE KIT,KIT DE NICOLE PARA NIÑA DE FELTCRAFT
FELTCRAFT BOY JEAN-PAUL KIT,KIT DE JEAN-PAUL PARA NIÑO DE FELTCRAFT
FELTCRAFT GIRL AMELIE KIT,KIT AMELIE PARA NIÑA DE FELTCRAFT
GYMKHANA TREASURE BOOK BOX,CAJA DEL LIBRO DEL TESORO DE GYMKHANA
MOTHER'S KITCHEN SPOON REST ,REPOSACUCHARAS DE COCINA DE MADRE
CLOCK MAGNET MUM'S KITCHEN,IMÁN DE RELOJ MUM'S KITCHEN
JAM CLOCK MAGNET,IMÁN DE RELOJ DE MERMELADA
PANTRY APPLE CORER,DESPENSA DESCORAZONADOR DE MANZANAS
MUM'S KITCHEN CLOCK,RELOJ DE COCINA DE MAMÁ
RECYCLED ACAPULCO MAT RED,ACAPULCO ROJO RECICLADO
RECYCLED ACAPULCO MAT PINK,ACAPULCO RECICLADO ROSA MATE
RECYCLED ACAPULCO MAT LAVENDER,ACAPULCO LAVANDA RECICLADA
RECYCLED ACAPULCO MAT GREEN,ACAPULCO RECICLADO VERDE
RECYCLED ACAPULCO MAT TURQUOISE,ACAPULCO RECICLADO TURQUESA
RECYCLED ACAPULCO MAT BLUE,ACAPULCO RECICLADO AZUL MATE
DOLLCRAFT BOY JEAN-PAUL ,NIÑO DE MUÑECAS JEAN-PAUL
FRENCH STYLE STORAGE JAR JAM,MERMELADA DE TARRO DE ALMACENAMIENTO AL ESTILO FRANCÉS
BULL DOG BOTTLE OPENER,ABRIDOR DE BOTELLAS BULL DOG
Adjustment,Ajuste
BULL DOG BOTTLE TOP WALL CLOCK,RELOJ DE PARED BULL DOG BOTTLE TOP
FRENCH STYLE STORAGE JAR BONBONS,BOMBONES DE JARRA DE ALMACENAMIENTO DE ESTILO FRANCÉS
DOLLCRAFT GIRL AMELIE,MUÑECA CHICA AMELIE
Dotcom set,Conjunto de Dotcom
FRENCH STYLE STORAGE JAR CAFE ,JAR DE ALMACENAMIENTO DE ESTILO FRANCÉS CAFÉ
wrongly sold as sets,vendidos erróneamente como conjuntos
dotcom sold sets,Conjuntos vendidos por puntocom
Amazon sold sets,Conjuntos vendidos en Amazon
wrongly sold sets,Conjuntos vendidos incorrectamente
?sold as sets?,?vendidos como conjuntos?
? sold as sets?,? ¿Se venden como conjuntos?
"RETRO PILL BOX KEY CHAIN,THE KING","LLAVERO DE PASTILLERO RETRO, EL REY"
CIRCUS PARADE BABY GIFT SET,SET DE REGALO PARA BEBÉ CIRCUS PARADE
 SPACEBOY BABY GIFT SET,SET DE REGALO SPACEBOY BEBÉ
Thrown away.,Tirado.
I LOVE LONDON BABY GIFT SET,SET DE REGALO PARA BEBÉ I LOVE LONDON
DOLLY GIRL BABY GIFT SET,SET DE REGALO PARA BEBÉ DOLLY GIRL
damages/display,Daños/Visualización
damaged stock,Existencias dañadas
throw away,botar
wrong barcode (22467),Código de barras incorrecto (22467)
wrongly sold (22719) barcode,Vendido incorrectamente (22719) código de barras
ANTIQUE SILVER T-LIGHT GLASS,VIDRIO T-LIGHT PLATEADO ENVEJECIDO
JUNGLE POPSICLES ICE LOLLY MOULDS,PALETAS HELADAS DE LA SELVA MOLDES DE PALETAS DE HIELO
wrong barcode,Código de barras incorrecto
barcode problem,Problema con el código de barras
?lost,?extraviado
thrown away-can't sell.,Tirado-No se puede vender.
thrown away-can't sell,Tirado-No se puede vender
DOUGHNUT LIP GLOSS ,BRILLO DE LABIOS DE ROSQUILLA
ICE CREAM SUNDAE LIP GLOSS,BRILLO DE LABIOS ICE CREAM SUNDAE
ICE CREAM PEN LIP GLOSS ,BRILLO DE LABIOS ICE CREAM PEN
rcvd be air temp fix for dotcom sit,RCVD be Air Temp fix para dotcom sit
WRAP BILLBOARD FONTS DESIGN,DISEÑO DE FUENTES DE VALLAS PUBLICITARIAS ENVOLVENTES
SET OF 5 PANCAKE DAY MAGNETS,SET DE 5 IMANES DE DÍA PARA PANQUEQUES
SET OF 4 JAM JAR MAGNETS,JUEGO DE 4 IMANES DE TARRO DE MERMELADA
SET OF 5 MINI GROCERY MAGNETS,SET DE 5 MINI IMANES DE SUPERMERCADO
KNICKERBOCKERGLORY MAGNET ASSORTED ,KNICKERBOCKERGLORY MAGNET SURTIDO
SET OF 5 LUCKY CAT MAGNETS ,SET DE 5 IMANES DE GATO DE LA SUERTE
re dotcom quick fix.,re Solución rápida de puntocom.
WRAP CAROUSEL,CARRUSEL DE ENVOLTURA
Dotcom sold in 6's,Dotcom vendido en 6
sold in set?,¿Se vende en conjunto?
cracked,agrietado
sold as 22467,vendido como 22467
SET OF 6 NATIVITY MAGNETS ,SET DE 6 IMANES DE NATIVIDAD
DECORATION WOBBLY RABBIT METAL ,DECORACIÓN WOBBLY RABBIT METAL
HEN HOUSE WITH CHICK STANDING,Gallinero con pollito de pie
TUMBLER BAROQUE,VASO BARROCO
DECORATION WOBBLY CHICKEN,DECORACIÓN WOBBLY CHICKEN
CHILDRENS CUTLERY DOLLY GIRL ,CUBIERTOS INFANTILES DOLLY GIRL
CHILDRENS CUTLERY SPACEBOY ,CUBIERTOS INFANTILES SPACEBOY
mystery! Only ever imported 1800,¡misterio! Único importado 1800
"MERCHANT CHANDLER CREDIT ERROR, STO","ERROR DE CRÉDITO DEL COMERCIANTE CHANDLER, STO"
POSSIBLE DAMAGES OR LOST?,¿POSIBLES DAÑOS O PÉRDIDAS?
CHILDRENS CUTLERY CIRCUS PARADE,CUCHILLERÍA INFANTIL DESFILE CIRCENSE
TUMBLER NEW ENGLAND,VASO NUEVA INGLATERRA
BAROQUE BUTTERFLY EARRINGS BLACK,PENDIENTES MARIPOSA BARROCA NEGRO
YELLOW/ORANGE FLOWER DESIGN PLATE,PLACA DE DISEÑO DE FLORES AMARILLAS/NARANJAS
CHARLOTTE BAG VINTAGE ALPHABET ,BOLSO CHARLOTTE ALFABETO VINTAGE
JUMBO BAG ALPHABET,ALFABETO DE BOLSOS JUMBO
LUNCH BAG ALPHABET DESIGN,DISEÑO DEL ALFABETO DE LA BOLSA DE ALMUERZO
JUMBO BAG APPLES,MANZANAS JUMBO BAG
LUNCH BAG APPLE DESIGN,LONCHERA APPLE DESIGN
CHARLOTTE BAG APPLES DESIGN,CHARLOTTE BAG MANZANAS DISEÑO
CHARLOTTE BAG ALPHABET  DESIGN,BOLSO CHARLOTTE DISEÑO ALFABÉTICO
KIDS CUTLERY SPACEBOY ,CUBIERTOS PARA NIÑOS SPACEBOY
KIDS CUTLERY DOLLY GIRL ,CUBIERTOS PARA NIÑOS DOLLY GIRL
LUNCH BAG VINTAGE LEAF DESIGN,BOLSA DE ALMUERZO VINTAGE LEAF DESIGN
DAMAGED,DAÑADO
SQUARECUSHION COVER PINK UNION JACK,FUNDA DE COJÍN CUADRADO UNION JACK ROSA
LARGE DECO JEWELLERY STAND,SOPORTE DE JOYERÍA DECO GRANDE
HEART BEADED TRELLIS DECORATION,DECORACIÓN DE ENREJADO CON CUENTAS DE CORAZÓN
GEMSTONE CHANDELIER T-LIGHT HOLDER,CANDELABRO DE PIEDRAS PRECIOSAS SOPORTE T-LIGHT
16 PIECE CUTLERY SET PANTRY DESIGN,JUEGO DE CUBIERTOS DE 16 PIEZAS DISEÑO DE DESPENSA
BEADED CHANDELIER T-LIGHT HOLDER,CANDELABRO DE CUENTAS T-LIGHT HOLDER
did  a credit  and did not tick ret,Hizo un crédito y no marcó ret
CHILDRENS TOY COOKING UTENSIL SET,JUEGO DE UTENSILIOS DE COCINA DE JUGUETE PARA NIÑOS
SMALL DECO JEWELLERY STAND,PEQUEÑO SOPORTE DE JOYERÍA DECO
ALUMINIUM STAMPED HEART,CORAZÓN ESTAMPADO DE ALUMINIO
DOUBLE CERAMIC PARLOUR HOOK,GANCHO DE SALÓN DE CERÁMICA DOBLE
ZINC SWEETHEART WIRE LETTER RACK,ESTANTE DE CARTAS DE ALAMBRE DE CORAZÓN DE ZINC
PARLOUR CERAMIC WALL HOOK,GANCHO DE PARED DE CERÁMICA PARA SALÓN
GEORGIAN TRINKET BOX,CAJA DE BARATIJAS GEORGIANAS
TRIPLE HOOK ANTIQUE IVORY ROSE,TRIPLE GANCHO ROSA MARFIL ANTIGUO
VINTAGE EMBOSSED HEART,CORAZÓN VINTAGE EN RELIEVE
IVORY CHANDELIER T-LIGHT HOLDER,CANDELABRO DE MARFIL SOPORTE T-LIGHT
FLOWERS CHANDELIER T-LIGHT HOLDER,LÁMPARA DE ARAÑA DE FLORES T-LIGHT HOLDER
TRIPLE WIRE HOOK IVORY HEART,GANCHO DE TRIPLE ALAMBRE CORAZÓN DE MARFIL
TRIPLE WIRE HOOK PINK HEART,GANCHO DE TRIPLE ALAMBRE CORAZÓN ROSA
SMALL ZINC HEART WALL ORGANISER,PEQUEÑO ORGANIZADOR DE PARED DE CORAZÓN DE ZINC
SMALL IVORY HEART WALL ORGANISER,ORGANIZADOR DE PARED PEQUEÑO CORAZÓN DE MARFIL
MARIE ANTOIENETT TRINKET BOX GOLD,CAJA DE BARATIJAS MARIE ANTOIENETT ORO
IVORY SWEETHEART WIRE LETTER RACK ,ESTANTE DE CARTAS DE ALAMBRE DE CORAZÓN DE MARFIL
Display,Monitor
LARGE ZINC HEART WALL ORGANISER,ORGANIZADOR DE PARED CORAZÓN DE ZINC GRANDE
LARGE IVORY HEART WALL ORGANISER,ORGANIZADOR DE PARED GRANDE EN FORMA DE CORAZÓN DE MARFIL
Missing,Desaparecido
SINGLE ANTIQUE ROSE HOOK IVORY,GANCHO DE ROSA ANTIGUO SIMPLE MARFIL
MINIATURE ANTIQUE ROSE HOOK IVORY,COLGANTE DE ROSA ANTIGUO EN MINIATURA MARFIL
ZINC T-LIGHT HOLDER STARS SMALL,SOPORTE DE ZINC T-LIGHT STARS SMALL
IVORY WIRE KITCHEN ORGANISER,ORGANIZADOR DE COCINA DE ALAMBRE DE MARFIL
IVORY WIRE SWEETHEART LETTER TRAY,BANDEJA DE CARTAS DE CORAZÓN DE CORAZÓN DE ALAMBRE DE MARFIL
SINGLE WIRE HOOK PINK HEART,GANCHO DE ALAMBRE SIMPLE CORAZÓN ROSA
SINGLE WIRE HOOK IVORY HEART,GANCHO DE ALAMBRE SIMPLE CORAZÓN DE MARFIL
IVORY SWEETHEART SOAP DISH,JABONERA DE CORAZÓN MARFIL
ZINC T-LIGHT HOLDER STAR LARGE,SOPORTE DE LUZ T DE ZINC STAR LARGE
PINK BUTTERFLY CUSHION COVER,FUNDA DE COJÍN MARIPOSA ROSA
adjustment,ajuste
returned,Volvió
